        size,          ops,         time,      op/time
      131072,     31248384,     0.112896,  2.76789e+08
      262144,     31248384,     0.143033,   2.1847e+08
      393216,     31248384,     0.137765,  2.26824e+08
      524288,     31244288,     0.141007,   2.2158e+08
      655360,     31242240,     0.143348,  2.17947e+08
      786432,     31248384,     0.145771,  2.14366e+08
      917504,     31238144,     0.144301,  2.16479e+08
     1048576,     31244288,     0.144326,  2.16484e+08
     1179648,     31242240,     0.144751,  2.15834e+08
     1310720,     31232000,     0.143667,  2.17392e+08
     1441792,     31246336,     0.143453,  2.17816e+08
     1572864,     31236096,     0.144939,  2.15512e+08
     1703936,     31229952,     0.146336,  2.13413e+08
     1835008,     31223808,     0.147487,  2.11705e+08
     1966080,     31242240,     0.166992,  1.87088e+08
     2097152,     31227904,     0.145795,   2.1419e+08
     2228224,     31229952,     0.150071,  2.08101e+08
     2359296,     31223808,     0.158649,  1.96811e+08
     2490368,     31246336,     0.156990,  1.99034e+08
     2621440,     31211520,     0.182837,  1.70707e+08
     2752512,     31223808,     0.178840,  1.74591e+08
     2883584,     31223808,     0.214193,  1.45774e+08
     3014656,     31229952,     0.197585,  1.58058e+08
     3145728,     31211520,     0.199073,  1.56784e+08
     3276800,     31232000,     0.173069,   1.8046e+08
     3407872,     31203328,     0.171154,  1.82311e+08
     3538944,     31242240,     0.182087,  1.71579e+08
     3670016,     31195136,     0.191714,  1.62717e+08
     3801088,     31240192,     0.183259,   1.7047e+08
     3932160,     31211520,     0.199081,  1.56778e+08
     4063232,     31236096,     0.196973,  1.58581e+08
     4194304,     31195136,     0.204331,   1.5267e+08
     4325376,     31223808,     0.208325,   1.4988e+08
     4456448,     31195136,     0.216740,  1.43929e+08
     4587520,     31180800,     0.222684,  1.40023e+08
     4718592,     31186944,     0.227209,  1.37261e+08
     4849664,     31219712,     0.236778,  1.31852e+08
     4980736,     31207424,     0.244326,  1.27729e+08
     5111808,     31229952,     0.262442,  1.18998e+08
     5242880,     31211520,     0.401247,  7.77863e+07
     5373952,     31236096,     0.293016,  1.06602e+08
     5505024,     31223808,     0.274749,  1.13645e+08
     5636096,     31174656,     0.283010,  1.10154e+08
     5767168,     31178752,     0.285496,  1.09209e+08
     5898240,     31242240,     0.290279,  1.07628e+08
     6029312,     31182848,     0.296000,  1.05347e+08
     6160384,     31186944,     0.313801,  9.93845e+07
     6291456,     31162368,     0.302312,   1.0308e+08
     6422528,     31209472,     0.307492,  1.01497e+08
     6553600,     31232000,     0.309238,  1.00997e+08
     6684672,     31229952,     0.318561,  9.80345e+07
     6815744,     31203328,     0.315563,  9.88815e+07
     6946816,     31152128,     0.322904,  9.64749e+07
     7077888,     31186944,     0.326952,  9.53869e+07
     7208960,     31201280,     0.329292,  9.47526e+07
     7340032,     31195136,     0.330156,   9.4486e+07
     7471104,     31168512,     0.334862,  9.30787e+07
     7602176,     31240192,     0.336515,  9.28345e+07
     7733248,     31174656,     0.342566,  9.10034e+07
     7864320,     31211520,     0.345630,  9.03033e+07
     7995392,     31232000,     0.344552,  9.06452e+07
     8126464,     31236096,     0.379075,  8.24008e+07
     8257536,     31223808,     0.367517,  8.49588e+07
