        size,          ops,         time,      time/op
           2,      5120000,     0.008062,  1.57461e-09
           4,      5120000,     0.005870,  1.14648e-09
           6,      5120000,     0.008659,  1.69121e-09
           8,      5120000,     0.006612,  1.29141e-09
          10,      5120000,     0.005741,  1.12129e-09
          12,      5120000,     0.006319,  1.23418e-09
          14,      5120000,     0.006757,  1.31973e-09
          16,      5120000,     0.007775,  1.51855e-09
          18,      5120000,     0.008982,   1.7543e-09
          20,      5120000,     0.009339,  1.82402e-09
          22,      5120000,     0.010018,  1.95664e-09
          24,      5120000,     0.010566,  2.06367e-09
          26,      5120000,     0.011998,  2.34336e-09
          28,      5120000,     0.010814,  2.11211e-09
          30,      5120000,     0.011300,  2.20703e-09
          32,      5120000,     0.012129,  2.36895e-09
          34,      5120000,     0.014293,   2.7916e-09
          36,      5120000,     0.013700,  2.67578e-09
          38,      5120000,     0.014546,  2.84102e-09
          40,      5120000,     0.015333,  2.99473e-09
          42,      5120000,     0.016637,  3.24941e-09
          44,      5120000,     0.016446,  3.21211e-09
          46,      5120000,     0.017376,  3.39375e-09
          48,      5120000,     0.018360,  3.58594e-09
          50,      5120000,     0.019680,  3.84375e-09
          52,      5120000,     0.021210,  4.14258e-09
          54,      5120000,     0.021509,  4.20098e-09
          56,      5120000,     0.021210,  4.14258e-09
          58,      5120000,     0.023246,  4.54023e-09
          60,      5120000,     0.023585,  4.60645e-09
          62,      5120000,     0.024445,  4.77441e-09
          64,      5120000,     0.024131,  4.71309e-09
          66,      5120000,     0.025214,  4.92461e-09
          68,      5120000,     0.025636,  5.00703e-09
          70,      5120000,     0.026667,   5.2084e-09
          72,      5120000,     0.023918,  4.67148e-09
          74,      5120000,     0.023970,  4.68164e-09
          76,      5120000,     0.024058,  4.69883e-09
          78,      5120000,     0.024065,   4.7002e-09
          80,      5120000,     0.023908,  4.66953e-09
          82,      5120000,     0.024108,  4.70859e-09
          84,      5120000,     0.024240,  4.73438e-09
          86,      5120000,     0.024138,  4.71445e-09
          88,      5120000,     0.023998,  4.68711e-09
          90,      5120000,     0.023976,  4.68281e-09
          92,      5120000,     0.024071,  4.70137e-09
          94,      5120000,     0.023806,  4.64961e-09
          96,      5120000,     0.023945,  4.67676e-09
          98,      5120000,     0.025826,  5.04414e-09
         100,      5120000,     0.024439,  4.77324e-09
         102,      5120000,     0.025366,   4.9543e-09
         104,      5120000,     0.024634,  4.81133e-09
         106,      5120000,     0.026782,  5.23086e-09
         108,      5120000,     0.023455,  4.58105e-09
         110,      5120000,     0.025306,  4.94258e-09
         112,      5120000,     0.023580,  4.60547e-09
         114,      5120000,     0.023556,  4.60078e-09
         116,      5120000,     0.023412,  4.57266e-09
         118,      5120000,     0.023126,   4.5168e-09
         120,      5120000,     0.023200,  4.53125e-09
         122,      5120000,     0.023026,  4.49727e-09
         124,      5120000,     0.022691,  4.43184e-09
         126,      5120000,     0.022875,  4.46777e-09
         128,      5120000,     0.026503,  5.17637e-09
         130,      5120000,     0.025197,  4.92129e-09
         132,      5120000,     0.022521,  4.39863e-09
         134,      5120000,     0.023080,  4.50781e-09
         136,      5120000,     0.022441,  4.38301e-09
         138,      5120000,     0.022383,  4.37168e-09
         140,      5120000,     0.022288,  4.35312e-09
         142,      5120000,     0.021914,  4.28008e-09
         144,      5120000,     0.022044,  4.30547e-09
         146,      5120000,     0.022014,  4.29961e-09
         148,      5120000,     0.021905,  4.27832e-09
         150,      5120000,     0.023753,  4.63926e-09
         152,      5120000,     0.022118,  4.31992e-09
         154,      5120000,     0.021935,  4.28418e-09
         156,      5120000,     0.023386,  4.56758e-09
         158,      5120000,     0.023711,  4.63105e-09
         160,      5120000,     0.021441,   4.1877e-09
         162,      5120000,     0.021223,  4.14512e-09
         164,      5120000,     0.024072,  4.70156e-09
         166,      5120000,     0.023673,  4.62363e-09
         168,      5120000,     0.024069,  4.70098e-09
         170,      5120000,     0.021084,  4.11797e-09
         172,      5120000,     0.024421,  4.76973e-09
         174,      5120000,     0.021326,  4.16523e-09
         176,      5120000,     0.024288,  4.74375e-09
         178,      5120000,     0.021452,  4.18984e-09
         180,      5120000,     0.020847,  4.07168e-09
         182,      5120000,     0.021587,  4.21621e-09
         184,      5120000,     0.021150,  4.13086e-09
         186,      5120000,     0.021507,  4.20059e-09
         188,      5120000,     0.021053,  4.11191e-09
         190,      5120000,     0.020483,  4.00059e-09
